Id,Title,TargetMuscle,DifficultyLevel,Equipment,PrimaryMuscles,TargetMuscleDescription
67,زیربغل اچ بار ماشین,زیربغل,متوسط,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
68,زیربغل تی بار دست برعکس ماشین,زیربغل,متوسط,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
69,بارفیکس کمکی دست باز,زیربغل,مبتدی,دستگاه,پشتی بزرگ,عضلات پشت، زیربغل
70,بارفیکس کمکی  دست برعکس,زیربغل,مبتدی,دستگاه,"پشتی بزرگ,دوسر بازو",عضلات پشت، زیربغل، جلو بازو
71,پرس سینه دستگاه نشسته,سینه,مبتدی,دستگاه,سینه (بخش میانی),عضلات سینه، سه سر بازو
72,پرس بالا سینه ماشین,سینه,مبتدی,دستگاه,سینه (بخش بالایی),بالای سینه، سه سر بازو
73,کراس اور سیم کش از بالا,سینه,متوسط,سیم‌کش,سینه (بخش پایینی),عضلات سینه
74,قفسه سینه سیم کش ایستاده,سینه,متوسط,سیم‌کش,سینه (بخش میانی),عضلات سینه
75,کراس اور سیم کش از پایین,سینه,متوسط,سیم‌کش,سینه (بخش بالایی),عضلات سینه
76,شنا سوئدی,سینه,مبتدی,وزن بدن,"سینه,دلتوئید قدامی,سه سر بازو",عضلات سینه و پشت بازو
77,فلای سینه دستگاه,سینه,مبتدی,دستگاه,سینه,عضلات سینه
78,پرس سینه هالتر,سینه,متوسط,هالتر,سینه (بخش میانی),عضلات سینه، سه سر بازو
79,پرس سینه دمبل,سینه,متوسط,دمبل,سینه (بخش میانی),عضلات سینه، سه سر بازو
80,پرس سینه دمبل چرخشی,سینه,متوسط,دمبل,سینه (بخش میانی),عضلات سینه، سه سر بازو
81,قفسه سینه دمبل,سینه,متوسط,دمبل,سینه (بخش میانی),عضلات سینه
82,پرس بالا سینه هالتر,سینه,متوسط,هالتر,سینه (بخش بالایی),بالای سینه، سه سر بازو
83,پرس بالا سینه دمبل,سینه,متوسط,دمبل,سینه (بخش بالایی),بالای سینه، سه سر بازو
84,پرس بالا سینه دمبل چرخشی,سینه,متوسط,دمبل,سینه (بخش بالایی),بالای سینه، سه سر بازو
85,قفسه بالا سینه دمبل,سینه,متوسط,دمبل,سینه (بخش بالایی),بالای سینه
86,بالا سینه دمبل جفت موازی,سینه,متوسط,دمبل,سینه (بخش بالایی),بالای سینه، سه سر بازو
87,پرس سینه دمبل جفت موازی,سینه,متوسط,دمبل,سینه (بخش میانی),عضلات سینه، سه سر بازو
88,بالا سینه دمبل صلیب,سینه,پیشرفته,دمبل,سینه (بخش بالایی),بالای سینه
89,زیر سینه هالتر,سینه,متوسط,هالتر,سینه (بخش پایینی),زیر سینه، قسمت پایین عضلات سینه
90,زیر سینه دمبل,سینه,متوسط,دمبل,سینه (بخش پایینی),زیر سینه، قسمت پایین عضلات سینه
91,زیر سینه دمبل چرخشی,سینه,متوسط,دمبل,سینه (بخش پایینی),زیر سینه (قسمت پایین عضلات سینه)
92,قفسه زیر سینه دمبل,سینه,متوسط,دمبل,سینه (بخش پایینی),زیر سینه (قسمت پایین عضلات سینه)
93,جلو بازو هالتر ایستاده,بازو,مبتدی,هالتر,دوسر بازو,عضلات جلو بازو
94,جلو بازو هالتر دست باز ایستاده,بازو,مبتدی,هالتر,دوسر بازو (سر کوتاه),عضلات جلو بازو (تمرکز بیشتر بر برخی از سرهای عضله)
95,جلو بازو هالتر دست جمع ایستاده,بازو,مبتدی,هالتر,دوسر بازو (سر بلند),عضلات جلو بازو (با تأکید بر تمرکز داخلی حرکت)
96,جلو بازو هالتر میله EZ دست باز ایستاده,بازو,مبتدی,هالتر,دوسر بازو (سر کوتاه),عضلات جلو بازو
97,جلو بازو هالتر میله EZ دست جمع ایستاده,بازو,مبتدی,هالتر,دوسر بازو (سر بلند),عضلات جلو بازو
98,جلو بازو دمبل تک تک ایستاده,بازو,مبتدی,دمبل,دوسر بازو,عضلات جلو بازو
99,جلو بازو دمبل جفت ایستاده,بازو,مبتدی,دمبل,دوسر بازو,عضلات جلو بازو
100,جلو بازو دمبل چکشی تک تک ایستاده,بازو,مبتدی,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو (با تأکید بر سر بازو)
101,جلو بازو دمبل جفت ایستاده,بازو,مبتدی,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو
102,جلو بازو دمبل چشکی تک رو به داخل,بازو,متوسط,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو
103,جلو بازو دمبل چکشی تک تک نشسته,بازو,مبتدی,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو (تمرکز بر سر بازو)
104,جلو بازو دمبل چکشی جفت نشسته,بازو,مبتدی,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو
105,جلو بازو دمبل تک تک نشسته,بازو,مبتدی,دمبل,دوسر بازو,عضلات جلو بازو
106,جلو بازو دمبل جفت نشسته,بازو,مبتدی,دمبل,دوسر بازو,عضلات جلو بازو
107,جلو بازو دمبل تک کمر خم,بازو,متوسط,دمبل,دوسر بازو,عضلات جلو بازو (با مشارکت عضلات پشتی به عنوان پشتیبان)
108,جلو بازو دمبل میز شیب دار تک تک,بازو,متوسط,دمبل,دوسر بازو (سر بلند),عضلات جلو بازو
109,جلو بازو سیم کش تک دست ایستاده,بازو,مبتدی,سیم‌کش,دوسر بازو,عضلات جلو بازو
110,جلو بازو سیم کش تک تک ایستاده,بازو,مبتدی,سیم‌کش,دوسر بازو,عضلات جلو بازو
111,جلو بازو سیم کش با میله ایستاده,بازو,مبتدی,سیم‌کش,دوسر بازو,عضلات جلو بازو
112,جلو بازو طناب ایستاده,بازو,مبتدی,سیم‌کش,دوسر بازو,عضلات جلو بازو
113,جلو بازو سیم کش فیگوری ایستاده,بازو,متوسط,سیم‌کش,دوسر بازو,عضلات جلو بازو
114,جلو بازو سیم کش نشسته,بازو,مبتدی,سیم‌کش,دوسر بازو,عضلات جلو بازو
115,جلو بازو لاری دستگاه,بازو,مبتدی,دستگاه,دوسر بازو,عضلات جلو بازو
116,جلو بازو هالتر لاری میله EZ دست باز,بازو,مبتدی,هالتر,دوسر بازو (سر کوتاه),عضلات جلو بازو
117,جلو بازو هالتر لاری میله EZ دست جمع,بازو,مبتدی,هالتر,دوسر بازو (سر بلند),عضلات جلو بازو
118,جلو بازو دمبل دمبل چکشی تک دست میز لاری,بازو,متوسط,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو (تمرکز بر سر بازو)
119,جلو بازو دمبل تک دست میز لاری,بازو,متوسط,دمبل,دوسر بازو,عضلات جلو بازو
120,جلو بازو دمبل چکشی جفت میز لاری,بازو,متوسط,دمبل,"بازویی قدامی,زند اعلایی",عضلات جلو بازو
121,جلو بازو دمبل جفت میز لاری,بازو,متوسط,دمبل,دوسر بازو,عضلات جلو بازو
122,پشت بازو دمبل تک تک نشسته,بازو,مبتدی,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس)
123,پشت بازو دمبل پرسی نشسته,بازو,مبتدی,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس)
124,پشت بازو طناب ایستاده,بازو,مبتدی,سیم‌کش,سه سر بازو,عضلات پشت بازو (تریسپس)
125,پشت بازو سیم کش تک دست برعکس ایستاده,بازو,مبتدی,سیم‌کش,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
126,پشت بازو سیم کش تک دست ایستاده,بازو,مبتدی,سیم‌کش,سه سر بازو,عضلات پشت بازو (تریسپس)
127,پشت بازو سیم کش ایستاده,بازو,مبتدی,سیم‌کش,سه سر بازو,عضلات پشت بازو (تریسپس)
128,پشت بازو سیم کش دست برعکس ایستاده,بازو,مبتدی,سیم‌کش,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
129,پشت بازو دیپ دستگاه دست معمولی,بازو,مبتدی,دستگاه,سه سر بازو,عضلات پشت بازو (تریسپس)
130,پشت بازو دیپ دستگاه دست برعکس,بازو,مبتدی,دستگاه,سه سر بازو,عضلات پشت بازو (تریسپس)
131,پشت بازو هالتر پرسی خوابیده,بازو,متوسط,هالتر,سه سر بازو,عضلات پشت بازو (تریسپس)
132,پشت بازو هالتر خوابیده,بازو,متوسط,هالتر,سه سر بازو,عضلات پشت بازو (تریسپس)
133,پشت بازو هالتر خوابیده دست برعکس,بازو,متوسط,هالتر,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
134,پشت بازو هالتر میله EZ دست باز خوابیده,بازو,متوسط,هالتر,سه سر بازو,عضلات پشت بازو (تریسپس)
135,پشت بازو هالتر میله EZ دست جمع خوابیده,بازو,متوسط,هالتر,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
136,پشت بازو دمبل تک دست خوابیده,بازو,متوسط,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس)
137,پشت بازو دمبل جفت خوابیده,بازو,متوسط,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس)
138,پشت بازو هالتر خوابیده میز زیر سینه,بازو,متوسط,هالتر,سه سر بازو,عضلات پشت بازو (تریسپس)
139,پشت بازو هالتر خوابیده دست برعکس میز زیر سینه,بازو,متوسط,هالتر,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
140,پشت بازو هالتر خوابیده میله EZ دست جمع میز زیر سینه,بازو,متوسط,هالتر,سه سر بازو (سر بلند),عضلات پشت بازو (تریسپس)
141,پشت بازو دمبل جفت کمر خم,بازو,مبتدی,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس) و عضلات پشتی به عنوان پشتیبان
142,پشت بازو دمبل پرسی ایستاده,بازو,متوسط,دمبل,سه سر بازو,عضلات پشت بازو (تریسپس)
145,پرس زیر سینه اسمیت دستگاه,سینه,مبتدی,دستگاه اسمیت,سینه (بخش پایینی),NULL
147,فلای بالا سینه دمبل,سینه,مبتدی,دمبل,سینه (بخش بالایی),NULL
149,پرس سینه دست جمع هالتر,"سینه,بازو",متوسط,هالتر,"سینه (بخش میانی),سه سر بازو",NULL
150,دیپ سینه (بدون دستگاه),"سینه,بازو",متوسط,وزن بدن,"سینه (بخش پایینی),سه سر بازو",NULL
151,بارفیکس دست باز,زیربغل,متوسط,وزن بدن,پشتی بزرگ,NULL
152,بارفیکس دست جمع,زیربغل,متوسط,وزن بدن,"پشتی بزرگ,دوسر بازو",NULL
154,زیربغل دمبل خم تک دست,زیربغل,مبتدی,دمبل,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",NULL
155,زیربغل دمبل خم جفت,زیربغل,متوسط,دمبل,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",NULL
163,اسکات بلغاری تک پا,پا,پیشرفته,"وزن بدن,دمبل,کتل بل,هالتر","چهارسر ران,سرینی,همسترینگ",NULL
165,ساق پا نشسته دستگاه,پا,مبتدی,دستگاه,نعلی,NULL
167,نشر جانب دمبل خم,سرشانه,مبتدی,دمبل,دلتوئید خلفی,NULL
169,پرس سرشانه هالتر نشسته,سرشانه,متوسط,هالتر,"دلتوئید قدامی,دلتوئید جانبی",NULL
172,شراک دمبل,کول,مبتدی,دمبل,ذوزنقه,NULL
174,کول سیم کش,"کول,سرشانه",متوسط,سیم‌کش,"ذوزنقه,دلتوئید جانبی,دلتوئید قدامی",NULL
175,کرانچ ساده,شکم,مبتدی,وزن بدن,راست شکمی,NULL
176,کرانچ ماشین,شکم,مبتدی,دستگاه,راست شکمی,NULL
178,دراز و نشست,شکم,مبتدی,وزن بدن,"راست شکمی,مورب شکمی",NULL
179,پا آویزان,شکم,متوسط,وزن بدن,"راست شکمی,مورب شکمی",NULL
181,چرخش روسی با دمبل,شکم,متوسط,دمبل,مورب شکمی,NULL
182,دراز و نشست شیب دار,شکم,متوسط,وزن بدن,"راست شکمی,مورب شکمی",NULL
185,پرس سینه دست جمع دمبل,"سینه,بازو",متوسط,دمبل,"سینه (بخش میانی),سه سر بازو",NULL
199,اسکات پا جلو هالتر,پا,پیشرفته,هالتر,چهارسر ران,NULL
202,ساق پا دمبل ایستاده,پا,مبتدی,دمبل,"دوقلو,نعلی",NULL
224,پا به سینه نشسته,شکم,مبتدی,وزن بدن,"راست شکمی,خم کننده های لگن",NULL
226,پل باسن با هالتر,پا,متوسط,هالتر,"سرینی,همسترینگ",NULL
230,لانگز جانبی با دمبل,پا,متوسط,دمبل,"چهارسر ران,سرینی,عضلات داخل و خارج ران",NULL
232,بورپی,تمام بدن,متوسط,وزن بدن,تمام عضلات اصلی بدن,NULL
267,کرانچ پهلو با دمبل,شکم,متوسط,دمبل,مورب شکمی,NULL
281,خم کردن مچ با هالتر,بازو,مبتدی,هالتر,خم کننده های مچ دست,NULL
285,کشش همسترینگ ایستاده,پا,مبتدی,وزن بدن,همسترینگ,NULL
308,کشش پهلو ایستاده,شکم,مبتدی,وزن بدن,مورب شکمی,NULL
317,بارفیکس دست معکوس,"زیربغل,بازو",متوسط,وزن بدن,"پشتی بزرگ,دوسر بازو",NULL
358,کرانچ با توپ,شکم,مبتدی,توپ تعادلی,راست شکمی,NULL
384,پرش با طناب,تمام بدن,مبتدی,سایر,"ساق پا,چهارسر ران,همسترینگ",NULL
403,جلو بازو دمبل متمرکز,بازو,متوسط,دمبل,دوسر بازو,NULL
465,پول اور هالتر,"سینه,زیربغل",متوسط,هالتر,"سینه (بخش بالایی),پشتی بزرگ",NULL
468,زیربغل تک دست سیم کش از بالا,زیربغل,متوسط,سیم‌کش,پشتی بزرگ,NULL
470,دیپ روی پارالل,"سینه,بازو",متوسط,وزن بدن,"سینه (بخش پایینی),سه سر بازو",NULL
473,کرانچ سیم کش (نردبانی),شکم,مبتدی,سیم‌کش,راست شکمی,NULL
476,ددلیفت سمیث,"پا,کول",متوسط,دستگاه اسمیت,"همسترینگ,سرینی,فیله کمر,ذوزنقه",NULL
484,رول اوت شکم با چرخ,شکم,متوسط,سایر,"راست شکمی,عرضی شکمی",NULL
491,کول هالتر (آپ‌رایت رو) دست باز,"کول,سرشانه",متوسط,هالتر,"ذوزنقه,دلتوئید جانبی",NULL
502,کوهنورد,"شکم,پا,هوازی",مبتدی,وزن بدن,"راست شکمی,مورب شکمی,چهارسر ران,همسترینگ",NULL
